nric_id,name,country,email,phone,type,password,membership_id,points,points_redeemed,expiry,tier
S7995097D,Elnar Hallin,France,ehallin0@163.com,(447) 9836846,non-member,5xNA6Af,2406228371,28718,34063,4/8/2020,silver
S3816865Q,Ernesto Billingsly,China,ebillingsly1@omniture.com,(372) 3862940,member,pEqBQ7n,7772575629,25473,9338,2/23/2019,silver
S1709950Q,Trudey Spurrier,Iran,tspurrier2@symantec.com,(704) 6584161,non-member,1bX8omwUJ,4698911702,14657,6419,11/1/2020,gold
S5504255B,Jaquelin O'Shesnan,Philippines,joshesnan3@wordpress.com,(512) 9726824,member,NW7zLt2UpQ,6797824249,10350,24902,6/15/2020,gold
S6150618T,Euell Landis,Estonia,elandis4@t.co,(549) 6702946,non-member,SZI0Q1m,4764997959,3945,5076,10/10/2018,gold
S7159905Q,Blanca Bishell,China,bbishell5@spotify.com,(286) 6494115,non-member,Lt7hoK,6341488610,16204,560,12/24/2019,silver
S9779689H,Tedd Everard,China,teverard6@opera.com,(318) 4759018,member,FeUiIQWaIt,4854228784,24792,12263,2/21/2020,silver
S2358008H,Toddy Castillou,France,tcastillou7@usgs.gov,(185) 3086541,non-member,3y6LuuuL,1321934858,29746,9634,7/19/2020,bronze
S8023356A,Sharla Gabbitus,Indonesia,sgabbitus8@eepurl.com,(467) 6480968,non-member,3Zk2oBox7,0113547188,14820,13702,8/9/2019,silver
S8009435H,Lynnelle Helian,Croatia,lhelian9@ebay.co.uk,(439) 7314172,non-member,d5F0Rrfp,7357970264,36636,9401,5/3/2019,silver
S6380390O,Drusie Coule,China,dcoulea@yandex.ru,(859) 4411980,non-member,KfCoK8ubfKXF,8793111967,36107,13420,11/30/2018,bronze
S3213018H,Rudiger Rivlin,Indonesia,rrivlinb@dropbox.com,(108) 8424598,member,ILWrxtgzpx,3436746193,38992,38196,12/1/2020,bronze
S9064656C,Jo-ann Knaggs,United States,jknaggsc@discovery.com,(520) 4965372,member,PqsYEE,4711245413,33569,5683,7/15/2020,silver
S9355132W,Shandra Hanhart,Indonesia,shanhartd@cisco.com,(140) 5963007,member,oWHGgj4FU,7705248034,16758,1731,3/28/2020,bronze
S3282230E,Thorsten Meiklam,Slovenia,tmeiklame@china.com.cn,(131) 3651244,member,xYumIyx9nE,8303335472,35434,20606,5/30/2019,gold
S3960316J,Laureen Haddacks,China,lhaddacksf@narod.ru,(388) 1591189,member,6fpxzmHLPUE,3811334530,23735,2077,1/17/2019,silver
S6538218B,Katharina Haycox,Russia,khaycoxg@mayoclinic.com,(276) 1754763,member,bujkZv,5533422161,18533,14137,7/16/2020,gold
S7531415W,Codi Cullivan,Greece,ccullivanh@printfriendly.com,(955) 3826511,non-member,WzmZXO,4366893770,27393,30550,7/28/2020,bronze
S2779787H,Elise Gibbonson,China,egibbonsoni@pagesperso-orange.fr,(539) 2204974,member,Iknkdv,9247328713,38912,21076,6/24/2020,bronze
S0639930O,Moreen Lobb,Brazil,mlobbj@webnode.com,(463) 9474602,member,l5AhGwbo8,9991942483,37899,8891,10/13/2019,gold
S0317622C,Juanita Poulsom,United States,jpoulsomk@studiopress.com,(612) 5672601,non-member,2k5mqTE3SD18,0402164385,32509,26543,6/15/2020,silver
S5241996G,Emiline Pudsey,Colombia,epudseyl@wisc.edu,(104) 3457948,non-member,dU8NERLBh7r,7199354061,2902,32893,10/20/2019,gold
S5381178D,Abigale Bretherton,Colombia,abrethertonm@de.vu,(623) 4765286,non-member,Ws9xYM,0440836646,20190,12195,12/5/2020,gold
S8693766Y,Letta Ansteys,Nepal,lansteysn@topsy.com,(903) 9066886,member,m3Bx8lB,9561042142,7341,27131,8/7/2020,gold
S3420736J,Clemens Candlin,Canada,ccandlino@mediafire.com,(698) 2136053,member,01vV4Mz,3699430804,19382,38795,7/15/2020,silver
S8524586M,Hadlee Kochlin,Brazil,hkochlinp@creativecommons.org,(419) 9073004,non-member,LYdh38G4,2489250884,38069,35153,9/27/2019,gold
S4293832Y,Sheeree Domb,Jamaica,sdombq@bluehost.com,(863) 1647549,member,3sRDhSSi,7969181384,13824,38007,12/3/2019,gold
S4854108B,Lauritz Conaghan,China,lconaghanr@china.com.cn,(628) 5070551,non-member,TXTTVmDhgI,0945880812,19546,8956,1/29/2019,gold
S8982522A,Katerina Teliga,Sweden,kteligas@techcrunch.com,(163) 9505015,member,3XkDkI,0564961698,29385,25106,11/26/2018,silver
S6434450E,Alena Crumb,Lithuania,acrumbt@irs.gov,(419) 3189201,member,T3Fk8Q,0256847819,8938,6898,6/8/2020,gold
S8462365R,Stoddard Butler-Bowdon,China,sbutlerbowdonu@nps.gov,(604) 3149478,non-member,witozB,5818868486,10239,38849,2/18/2019,bronze
S6831579I,Millisent January 1st,Pakistan,mjanuaryv@ucoz.com,(320) 4858518,member,hPrDoEM3,0391277863,10764,6950,3/7/2020,bronze
S9841182I,Marlo Metterick,Russia,mmetterickw@amazon.com,(113) 4509123,non-member,TjspYT,3267496136,14192,1972,2/27/2019,silver
S7053359G,Jerrold Muggleston,Brazil,jmugglestonx@edublogs.org,(897) 4368999,non-member,HShNoiS,4926878526,38883,24785,9/27/2020,gold
S2484813P,Adelind Josephoff,Poland,ajosephoffy@cbsnews.com,(373) 3259338,member,dKtfliD,0431049521,11779,2594,10/3/2018,silver
S4358572Q,Darren Millery,Ukraine,dmilleryz@vinaora.com,(862) 6114768,non-member,upmKHWvq,4070201610,10590,28641,7/25/2019,silver
S5834731D,Cam Shankle,Thailand,cshankle10@sogou.com,(852) 4355134,non-member,2iEKrgOGgx,7478932657,26998,6158,2/20/2020,silver
S6208409E,Maynard Birchwood,Poland,mbirchwood11@tamu.edu,(275) 7466972,non-member,GxCsfZVFQ,2264097132,32674,33932,12/5/2020,silver
S0871123M,Randell De L'Isle,China,rde12@zimbio.com,(990) 6384999,non-member,ZKRqfWSTC,7433074333,27690,31491,8/22/2020,gold
S8593953V,Wallas Sheen,Russia,wsheen13@google.nl,(311) 2657336,member,wD4EAxdhy,2319969144,34418,13506,3/19/2020,silver
S0693671P,Win Gres,Costa Rica,wgres14@house.gov,(153) 1290672,non-member,FJUefc,4710602913,12068,34407,12/30/2019,bronze
S2822525Q,Cacilia Finlaison,Czech Republic,cfinlaison15@livejournal.com,(722) 2602368,member,v5MIxCfJCm3,5036139259,6181,20595,6/17/2020,bronze
S1380692I,Norah Rabl,Greece,nrabl16@salon.com,(440) 5006018,non-member,j2G097gxCM,4996429267,24950,11847,3/4/2020,gold
S4515833P,Tabby MacCaffrey,Czech Republic,tmaccaffrey17@sciencedirect.com,(166) 7705445,member,Cp0l5eeau,7435485586,3095,39439,9/10/2020,gold
S6518447Y,Livy Sannes,Indonesia,lsannes18@dyndns.org,(512) 3207285,non-member,I2fyN3FsFII,1395978204,572,6852,4/21/2019,silver
S5767819L,Leona Boyland,Argentina,lboyland19@uiuc.edu,(211) 1008728,member,EhiaHn0DD9f,2882085869,21036,33842,7/10/2020,bronze
S6459500H,Rhea Isgate,Estonia,risgate1a@phpbb.com,(929) 7366487,non-member,8ReZb59o7f,9582938102,7734,37249,6/20/2019,silver
